names	scores	logfoldchanges	pvals	pvals_adj	pct_nz_group
B2M	16.646687	1.4903196	3.198266767742828e-62	1.3070356799734614e-57	1.0
MT-CO1	15.132588	0.997625	9.873475258894801e-52	2.0174965670262692e-47	1.0
HLA-B	15.0161085	1.4007963	5.75909530012076e-51	7.845231587667836e-47	1.0
MT-RNR2	14.995657	1.0466176	7.838334425539535e-51	8.008230324213104e-47	1.0
CD74	13.226387	0.793236	6.178691491937857e-40	5.0500917040204884e-36	1.0
MT-RNR1	13.136995	1.1505657	2.020924696473816e-39	1.3764854928465906e-35	1.0
MT-ATP6	12.997897	0.8503271	1.2575337061411885e-38	7.341661424124564e-35	1.0
MT-ND4	12.909861	0.8585242	3.960177159869797e-38	2.0230069999049874e-34	1.0
MT-CO2	12.86354	0.91541505	7.219351727378476e-38	3.27814718936418e-34	1.0
RPLP1	12.817625	1.1397765	1.3064114204715344e-37	5.33891155204102e-34	1.0
RPS14	12.790943	1.1671432	1.8422475127984256e-37	6.844284464139387e-34	0.990990990990991
RPS11	12.702771	0.9102891	5.707268687130777e-37	1.943657911974779e-33	1.0
RPL27A	12.648188	1.092668	1.1448498303185316e-36	3.598967539663649e-33	0.990990990990991
MT-CO3	12.60918	0.9191431	1.8793632792242247e-36	5.485995652289742e-33	1.0
HLA-C	12.542543	1.4801877	4.3674802952081864e-36	1.1899054481618198e-32	0.954954954954955
RPL19	12.10737	0.9451757	9.653935630180975e-34	2.465796171241287e-30	1.0
RPS18	12.073239	1.0850046	1.4626107382825517e-33	3.5160301789054725e-30	0.9864864864864865
TMSB4X	11.9532385	1.1653377	6.24436289246661e-33	1.4177132129246276e-29	0.9864864864864865
RPS6	11.856533	0.9928483	1.990467745277587e-32	4.281286597171534e-29	0.990990990990991
RPL11	11.842583	0.9776266	2.3509923061103118e-32	4.8039001286905057e-29	0.9954954954954955
HLA-A	11.826059	1.4687952	2.862693431819495e-32	5.570937737055586e-29	0.918918918918919
RPS2	11.617344	1.1147833	3.3643331301931487e-31	6.249554637800154e-28	0.9774774774774775
EEF1A1P5	11.537027	0.91096145	8.584075704235442e-31	1.5252409643695208e-27	1.0
RPS7	11.443708	1.1881921	2.528426343063588e-30	4.305383306749152e-27	0.972972972972973
